"Tripura","Others ","149.10","76.16%"
"Manipur","Others ","153.13","83.27%"
"Mizoram","Others ","222.08","91.75%"
"Nagaland","Others ","263.38","97.19%"
"Delhi","Others ","269.13","42.53%"
"Meghalaya","Others ","305.42","88.85%"
"Arunachal Pradesh                   ","Others ","444.51","97.24%"
"Sikkim","Others ","630.77","90.39%"
"Uttarakhand","Others ","1,002.16","90.23%"
"Puducherry","Others ","1,207.07","92.82%"
"Bihar","Others ","1,210.63","77.73%"
"West Bengal","Others ","1,343.56","82.62%"
"Himachal Pradesh    ","Others ","1,809.52","86.96%"
"Jammu and Kashmir                             ","Others ","1,835.59","92.82%"
"Assam","Others ","2,082.66","86.33%"
"Goa","Others ","2,306.63","99.2%"
"Punjab","Others ","2,684.37","93.2%"
"Telangana","Others ","3,546.92","55.18%"
"Andhra Pradesh             ","Others ","3,582.44","43.78%"
"Haryana","Others ","3,673.72","79.64%"
"Karnataka","Others ","3,738.66","79.75%"
"Jharkhand","Others ","4,192.02","96.7%"
"Chhattisgarh                             ","Others ","4,757.16","105.41%"
"Tamil Nadu","Others ","5,761.76","69%"
"Odisha","Others ","6,663.75","82.57%"
"Kerala","Others ","7,107.36","97.57%"
"Gujarat","Others ","8,441.51","88.47%"
"Madhya Pradesh              ","Others ","9,034.23","88.14%"
"Maharashtra","Others ","9,201.23","73.13%"
"Rajasthan","Others "," 11,100.78","83.91%"
"Uttar Pradesh                ","Others "," 17,623.84","89.88%"
"Arunachal Pradesh                   ","Dividends and profits "," .00","0%"
"Manipur","Dividends and profits "," .00","0%"
"Odisha","Dividends and profits ","1,076.44","13.33%"
"Himachal Pradesh    ","Dividends and profits ","171.00","8.22%"
"Telangana","Dividends and profits ","133.88","2.08%"
"Jammu and Kashmir                             ","Dividends and profits ","128.88","6.52%"
"Tamil Nadu","Dividends and profits "," 99.46","1.19%"
"Gujarat","Dividends and profits "," 89.54",".94%"
"Madhya Pradesh              ","Dividends and profits "," 80.35",".78%"
"Karnataka","Dividends and profits "," 74.84","1.6%"
"Kerala","Dividends and profits "," 74.18","1.02%"
"Rajasthan","Dividends and profits "," 63.33",".48%"
"Maharashtra","Dividends and profits "," 28.14",".22%"
"Assam","Dividends and profits "," 16.23",".66%"
"Delhi","Dividends and profits "," 12.90","2.06%"
"Uttar Pradesh                ","Dividends and profits ","8.08",".04%"
"Haryana","Dividends and profits ","5.80",".13%"
"West Bengal","Dividends and profits ","5.64",".37%"
"Bihar","Dividends and profits ","2.58",".19%"
"Goa","Dividends and profits ","1.82",".09%"
"Andhra Pradesh             ","Dividends and profits ","1.78",".02%"
"Puducherry","Dividends and profits ","1.64",".15%"
"Punjab","Dividends and profits ","1.48",".03%"
"Sikkim","Dividends and profits "," .87",".14%"
"Chhattisgarh                             ","Dividends and profits "," .86",".02%"
"Tripura","Dividends and profits "," .51",".51%"
"Meghalaya","Dividends and profits "," .13","0%"
"Uttarakhand","Dividends and profits "," .11","0%"
"Haryana","Interest Receipts ","933.59","20.25%"
"Andhra Pradesh             ","Interest Receipts ","4,597.13","56.19%"
"Maharashtra","Interest Receipts ","3,351.51","26.64%"
"Madhya Pradesh              ","Interest Receipts ","1,260.65","12.3%"
"Sikkim","Interest Receipts "," 66.44","9.45%"
"Karnataka","Interest Receipts ","874.74","18.66%"
"Tripura","Interest Receipts "," 46.02","23.51%"
"Meghalaya","Interest Receipts "," 37.73","11.07%"
"Manipur","Interest Receipts "," 30.60","16.87%"
"Delhi","Interest Receipts ","350.52","55.49%"
"Mizoram","Interest Receipts "," 19.88","8.27%"
"Goa","Interest Receipts "," 17.18",".73%"
"Bihar","Interest Receipts ","344.77","22.14%"
"Jammu and Kashmir                             ","Interest Receipts "," 13.58",".71%"
"Arunachal Pradesh                   ","Interest Receipts "," 13.12","2.84%"
"Odisha","Interest Receipts ","330.67","4.1%"
"Assam","Interest Receipts ","313.99","13.01%"
"Nagaland","Interest Receipts ","7.23","2.59%"
"West Bengal","Interest Receipts ","277.46","17.03%"
"Punjab","Interest Receipts ","193.88","6.74%"
"Chhattisgarh                             ","Interest Receipts ","171.89","3.81%"
"Telangana","Interest Receipts ","2,766.02","43.03%"
"Jharkhand","Interest Receipts ","143.04","3.3%"
"Tamil Nadu","Interest Receipts ","2,489.38","29.81%"
"Uttar Pradesh                ","Interest Receipts ","2,302.89","11.75%"
"Uttarakhand","Interest Receipts ","108.17","9.73%"
"Kerala","Interest Receipts ","102.15","1.4%"
"Himachal Pradesh    ","Interest Receipts ","100.93","4.85%"
"Rajasthan","Interest Receipts ","2,065.39","15.61%"
"Puducherry","Interest Receipts "," 91.64","7.07%"
"Gujarat","Interest Receipts ","1,011.56","10.61%"
