State/ut,2015,2016,2017,2018
Andhra Pradesh,12.1,11.8,10.3,10.2
Arunachal Pradesh,10.4,8.3,6,8.9
Assam,10,9.1,6.8,7
Bihar,0.5,0.4,0.3,0.4
Chhattisgarh,27.7,29.5,22.5,24.7
Goa,15.4,18,17.9,16.7
Gujarat,11.6,11.8,11.2,11.6
Haryana,13,13.3,12.1,12.5
Himachal Pradesh,7.7,8.9,8,10.2
Jammu and Kashmir,3,2.5,2.2,2.5
Jharkhand,2.5,3.6,3.3,3.6
Karnataka,17.4,16.6,18,17.7
Kerala,21.6,22.2,22.6,23.5
Madhya Pradesh,13.3,13.2,14.7,14.5
Maharashtra,14.2,14.4,14.7,14.8
Manipur,1.4,1.2,1.4,1.7
Meghalaya,6.2,5.3,5.2,16
Mizoram,11.7,10.7,7.8,2.5
Nagaland,0.9,1.6,1.6,1.7
Odisha,9.7,9,10.4,10.5
Punjab,3.6,4.9,5,5.8
Rajasthan,4.8,4.9,5.1,5.7
Sikkim,37.5,40.7,32.8,30.2
Tamil Nadu,22.8,20.3,19.3,18.4
Telangana,27.7,24.7,20.7,21.2
Tripura,19.6,17.4,17.6,18.2
Uttar Pradesh,1.8,1.6,2,2.2
Uttarakhand,4.5,1.4,3,3.8
West Bengal,15.7,14.1,12.5,13.7
Andaman and Nicobar Islands,28.9,37.2,35.3,41
Chandigarh,6.9,10.8,9.8,13.7
Dadra and Nagar Haveli,25.4,11.9,15.2,19.1
Daman and Diu,11.8,10.6,11.2,8.8
Delhi,8.8,11.5,12.8,12.9
Lakshadweep,6.3,4.5,0,4.3
Puducherry,43.2,39.7,40.2,33.8
All India (Total),10.6,10.2,9.9,10.2
"Source:(a) Numerator: National Crime Records Bureau (b) Denominator: Office of Registrar General of India, Ministry of Home Affairs",,,,
