2702.87,68.85,2953.49,1231.55,92.75,116.16,72.35,43.81
6492.29,72.94,6161.35,2906.22,100.00,2294.28,2200.10,94.18
11228.38,145.24,8799.94,1847.44,561.52,2378.26,2237.74,140.52
15981.13,263.14,11566.71,3419.64,1360.60,2525.58,2335.00,190.58
18874.00,6311.10,14304.82,6982.89,2467.58,3256.52,3017.12,239.40
23397.69,7877.09,17471.94,8494.41,3654.53,3628.09,3338.59,289.50
31387.39,7878.45,20297.28,8990.18,3633.47,3953.14,3615.32,337.82
39465.91,9656.51,23496.06,11414.61,4858.62,(*) 4737.50,4347.15,390.35
10778.71,26247.26,12753.98,7040.01,5805.24,5364.65,440.59,107532.45
57265.71,13222.84,29829.67,12621.44,7738.30,7297.79,6806.54,491.25
63176.19,14639.18,33146.66,15648.34,8399.06,8912.02,8371.90,540.12
