#District wise Type of Deposits/Credits,Year:2017-2020,Amts in Crores
#Source: RBI Quarterly Stats
District,2020-21:Q1 Number of Reporting Offices,2020-21:Q1 Deposit,2020-21:Q1 Credit,2019-20:Q4 Number of Reporting Offices,2019-20:Q4 Deposit,2019-20:Q4 Credit,2019-20:Q3 Number of Reporting Offices,2019-20:Q3 Deposit,2019-20:Q3 Credit,,2019-20:Q2 Number of Reporting Offices,2019-20:Q2 Deposit,2019-20:Q2 Credit,2019-20:Q1 Number of Reporting Offices,2019-20:Q1 Deposit,2019-20:Q1 Credit,2018-19:Q4 Number of Reporting Offices,2018-19:Q4 Deposit,2018-19:Q4 Credit,2018-19:Q3 Number of Reporting Offices,2018-19:Q3 Deposit,2018-19:Q3 Credit,2018-19:Q2 Number of Reporting Offices,2018-19:Q2 Deposit,2018-19:Q2 Credit,2018-19:Q1 Number of Reporting Offices,2018-19:Q1 Deposit ,2018-19:Q1 Credit,2017-18:Q4 Number of Reporting Offices,2017-18:Q4 Deposit,2017-18:Q4 Credit,2017-18:Q3 Number of Reporting Offices,2017-18:Q3 Deposit,2017-18:Q3 Credit,2017-18:Q2 Number of Reporting Offices,2017-18:Q2 Deposit,2017-18:Q2 Credit,2017-18:Q1 Number of Reporting Offices,2017-18:Q1 Deposit,2017-18:Q1 Credit
ARIYALUR,86,2338,3958,86,2254,3820,86,2152,3741,,86,2126,3658,85,2070,3512,82,2094,3429,81,1942,3312,81,1868,3223,81,1767,3078,80,1716,3015,80,1639,2945,79,1556,2768,78,1516,2660
CHENNAI,1613,404151,439451,1615,382439,454753,1588,355742,428554,,1573,348980,424591,1555,341528,412691,1531,334836,412484,1522,319627,390077,1538,315960,385224,1533,305827,367373,1522,303522,366565,1515,287707,370429,1516,288054,360511,1540,286886,353747
COIMBATORE,879,75945,76707,872,73361,76272,871,71530,75370,,855,69793,73827,846,67340,70937,830,66282,71206,819,64597,68178,823,63627,67518,819,61336,66565,816,61328,67023,803,59279,63674,803,58500,62246,808,58021,59896
CUDDALORE,298,13988,14377,297,13133,14065,295,12856,13908,,294,12703,13589,281,12347,13039,274,12335,12683,272,11695,12268,272,11315,11752,273,10962,11197,270,10598,10860,263,10037,10239,258,9612,9693,257,9794,9329
DHARMAPURI,141,4324,7462,139,4131,7214,139,4015,7034,,139,3908,6844,135,3808,6639,134,3740,6492,130,3578,6148,129,3427,5930,129,3371,5672,128,3270,5527,128,3223,5452,128,3165,5267,127,3071,4882
DINDIGUL,298,11001,12685,298,10512,12477,296,10363,12147,,291,10003,11814,289,9789,11681,285,9566,11763,283,9179,11250,281,8992,10767,281,8665,10657,281,8683,10690,280,8321,10320,277,8269,9815,276,8140,9698
ERODE,423,21403,23074,419,20741,22655,415,20176,22288,,411,19567,22068,398,18840,21285,385,18575,21097,379,17568,20160,379,17123,19428,379,16431,18916,377,16388,18944,375,15883,18271,371,15819,17614,369,15404,17454
KANCHEEPURAM,852,66929,46433,849,63897,46464,838,63213,44716,,826,60074,42828,809,57714,40578,788,55797,39234,779,54400,37776,779,52839,32978,782,51836,31936,779,50637,31128,772,48439,30366,766,48251,24370,778,45586,23469
KANYAKUMARI,314,15446,15888,314,14972,15618,313,14214,15314,,310,13949,14961,307,13551,14468,299,13416,13809,296,12954,13220,295,12694,12868,295,12234,12399,295,13574,12284,295,11614,11628,291,11402,11312,292,11196,10938
KARUR,156,6275,8927,157,6155,8691,155,5934,8808,,155,5806,8831,154,5639,8396,154,5625,7778,152,5236,7438,151,5144,7151,150,4932,6914,151,5849,6634,151,5222,6353,151,5271,6199,153,4691,5981
KRISHNAGIRI,231,10071,12860,231,9656,12985,230,9462,12663,,228,9181,12294,223,8755,11802,219,8454,11698,215,8295,11280,216,8145,10887,215,7898,10312,213,7903,10094,206,7498,9298,206,7483,8737,206,7353,8325
MADURAI,519,30511,28288,516,29409,27764,507,28562,27026,,506,27927,26516,495,26974,25653,475,26635,25300,477,25759,24199,480,25268,23624,480,24753,23165,479,24519,23401,472,23724,22511,468,23319,21584,465,22976,20635
NAGAPATTINAM,201,8415,6738,202,8384,6258,199,8060,6290,,199,7859,6106,192,7688,5938,189,7602,5741,190,7226,5679,189,6994,5516,190,6748,5383,188,6701,5229,188,6483,5159,187,6397,4949,185,6283,4920
NAMAKKAL,276,12703,15191,274,12175,14888,272,11912,14646,,272,11518,14497,270,11178,14049,266,11055,14058,265,10526,13606,260,10216,13232,258,9914,12970,258,9786,12989,257,9350,12460,254,9187,11977,254,9120,11669
NILGIRIS,118,5498,3851,118,5244,3827,118,5258,3723,,116,5174,3666,113,5026,3590,113,4979,3499,112,4833,3393,110,4787,3239,110,4631,3138,109,4370,3021,109,4463,2966,107,4481,2788,106,4345,2715
PERAMBALUR,76,2375,3800,77,2310,3753,77,2349,3680,,77,2312,3722,77,2288,3614,76,2329,3633,76,2187,3494,76,2130,3426,76,2118,3281,76,2108,3256,76,1978,3213,76,1980,3170,76,1993,3070
PUDUKKOTTAI,199,6448,7850,199,6290,7668,198,6075,7494,,197,5861,7374,195,5752,7142,192,5800,7016,190,5464,6757,190,5299,6620,189,5059,6370,188,5053,6267,187,4929,6145,187,4863,6004,186,4783,5796
RAMANATHAPURAM,143,5033,5549,143,4795,5532,141,4739,5460,,142,4545,5325,141,4539,5098,141,4476,5041,139,4267,4842,139,4137,4701,139,4037,4507,139,3989,4370,139,3924,4188,139,3891,4048,139,3813,3909
SALEM,446,23900,25582,441,23221,25069,433,22632,24308,,428,22001,23926,418,21100,22982,417,20604,22754,411,19724,21604,414,18965,20918,413,18583,20232,410,18820,20050,402,18022,19272,401,17318,18569,401,16794,17978
SIVAGANGA,253,9399,8383,253,9214,8225,253,8748,8112,,252,8541,7985,251,8354,7813,250,8278,7672,248,7995,7379,245,7763,7258,246,7594,7003,245,7612,6947,247,7377,6713,246,7261,6555,245,7138,6321
THANJAVUR,359,17629,16065,359,17156,15907,353,16617,15299,,349,16262,15642,338,15881,14561,332,15727,14242,334,14894,14015,330,14501,13717,331,14146,13218,328,14043,12935,324,13653,12622,315,13239,12344,314,12855,11727
THENI,186,5866,8457,185,5630,8210,184,5497,8038,,181,5260,8033,177,5075,7840,171,4957,7526,168,4707,7730,166,4579,7045,166,4432,6813,166,4565,6916,166,4214,6554,165,4163,6473,164,4026,6250
THIRUVALLUR,508,34428,24194,494,33804,23276,491,30502,22638,,487,29937,22011,483,29184,21168,469,28414,20753,465,27219,19798,469,26749,19212,470,26023,18534,467,25488,18341,458,24596,17718,459,24368,15722,460,23953,14973
THIRUVARUR,178,5918,5456,176,5764,5096,175,5548,5032,,174,5394,4910,169,5234,4688,164,5247,4521,165,4899,4401,162,4794,4275,161,4668,4070,156,4761,3971,157,4470,3881,155,4444,3758,154,4334,3680
TIRUCHIRAPALLI,449,29884,23564,452,29344,23168,446,28410,22612,,443,28219,21814,437,27066,20809,419,25897,20613,415,24920,19751,422,24915,22126,422,24098,19594,418,23605,20795,415,23025,20190,417,22814,18341,415,22365,17254
TIRUNELVALI,454,21016,18130,452,20395,17812,452,19750,17385,,445,19400,17000,437,18850,16224,429,18639,15901,426,17758,15271,421,17382,14783,421,16917,14257,417,16854,14270,415,16091,13844,411,15936,13235,408,15773,12771
TIRUPPUR,401,22489,30475,405,22041,30783,403,21719,30727,,398,21124,30034,390,20137,29325,381,19947,29437,380,19200,28560,379,18837,27434,378,18201,26743,374,18116,27175,369,17870,26081,368,17922,25443,368,17503,25058
TIRUVANNAMALAI,233,8051,9267,234,7668,8996,231,7450,8761,,231,7050,8544,226,6884,8287,216,6736,8133,213,6531,7684,212,6314,7457,211,6079,7203,210,6208,7163,207,5792,6858,205,5675,6585,202,5595,6329
TOOTHUKUDI,246,13660,11288,246,13474,11295,247,12964,11076,,245,12631,10889,243,12425,10497,238,12506,9990,237,11595,9601,238,11430,9349,236,11157,9017,236,11347,9780,234,10691,8892,234,10555,8464,235,10342,8117
VELLORE,445,21260,17658,444,20407,17051,440,19944,16506,,436,19587,15993,433,19114,15386,411,17796,14860,405,17534,14054,406,17225,13326,404,16804,12799,400,15625,12532,394,15599,12078,396,15523,11610,393,15325,11102
VILLUPURAM,320,9591,13428,319,9111,13084,318,8829,12743,,314,8684,12473,307,8288,11972,298,8236,11694,297,7652,11156,297,7505,10861,297,7234,10562,296,7322,10385,289,6779,10021,283,6732,9687,281,6704,11564
VIRUDHUNAGAR,257,13827,13597,257,13424,13223,255,13326,12919,,255,12908,12848,251,12532,12566,245,12184,12378,240,11799,11867,240,11479,11790,240,11169,11434,238,11451,11616,239,11097,11117,240,10728,10890,240,10554,10678
Total,11558,939769,958633,11523,900511,965900,11419,858549,929018,,11315,838282,914610,11125,814949,884227,10873,798765,876433,10781,765760,835950,10789,752403,817633,10775,729624,785312,10710,725810,784172,10612,692987,771462,10559,688174,740730,10575,678231,722896
